run_id,BIC,centre_0_log_rv,centre_0_ac1_5m,centre_1_log_rv,centre_1_ac1_5m,centre_2_log_rv,centre_2_ac1_5m
rand7,167258.9457667653,-8.480005691797729,-0.04526168238156054,-8.55203810121821,-0.2527098211481078,-8.40322918345346,0.1683585068129903
rand13,167258.9573297209,-8.40322456713461,0.1683832294082225,-8.48000919738794,-0.04523106367181812,-8.55200973215803,-0.25268757332494685
rand29,167258.9462270253,-8.480005836491575,-0.04526041945122722,-8.55203693106933,-0.2527089032883579,-8.403228992734459,0.1683595263647972
rand47,167258.95151960442,-8.403361453207024,0.1676825111001398,-8.479905671829787,-0.04610626656565139,-8.552823537766223,-0.25332974390994406
rand101,215609.53516989265,-8.454444670785142,-0.04533802459062267,-8.497254057382301,-0.04810048872762495,-8.508596087248346,-0.04749064730452343
jackknife,165717.29924413154,-8.400559186573824,0.16802730445937625,-8.55356432564725,-0.2530042601353656,-8.479763763401996,-0.04641938436659404
