fold,opt,z,hold,tr_sh,te_sh,trades,maxDD
2025,A,0.5,3,0.0,-3.579045232942309,476,-0.2884338299622129
2025,A,0.5,6,0.0,-3.222547008280153,433,-0.2661335300129655
2025,A,0.5,9,0.0,-2.9272269461474045,414,-0.2453183933378146
2025,A,0.75,3,0.0,-3.5550957458432433,444,-0.27432687778510206
2025,A,0.75,6,0.0,-2.947361823662557,399,-0.23584932265527447
2025,A,0.75,9,0.0,-2.761968107653853,371,-0.22427138304696814
2025,A,1.0,3,0.0,-3.756333921815768,430,-0.2751513048946059
2025,A,1.0,6,0.0,-3.5021240249027707,381,-0.26763554961880914
2025,A,1.0,9,0.0,-2.8035016051202324,353,-0.22329084234827054
2025,A,1.25,3,0.0,-4.366489742663117,397,-0.23843477649724784
2025,A,1.25,6,0.0,-3.8578590745481733,336,-0.22070505430691106
2025,A,1.25,9,0.0,-2.781102212445425,314,-0.1849640397282412
2026,A,0.5,3,-2.528606066509714,-12.165025209384543,8,-0.017266303515918957
2026,A,0.5,6,-2.276809311311116,-12.884799568817842,8,-0.018489965217254146
2026,A,0.5,9,-2.068206201439831,-12.263825124109726,8,-0.017556165506023947
2026,A,0.75,3,-2.511691147273046,-11.100993829828623,11,-0.01534126098970036
2026,A,0.75,6,-2.0824291835709303,-12.43920872197779,11,-0.017503747729581586
2026,A,0.75,9,-1.9514674016873368,-11.683494816992846,10,-0.016475260057964198
2026,A,1.0,3,-2.653817105857207,-10.32904315063792,12,-0.014120623815970517
2026,A,1.0,6,-2.474278165846312,-11.227258583600575,11,-0.01568094759193745
2026,A,1.0,9,-1.98080704589512,-11.503786515962824,9,-0.016078063614212462
2026,A,1.25,3,-3.084692207370542,-9.263321125549226,12,-0.012299487538530603
2026,A,1.25,6,-2.7255169127874748,-10.548367519611052,10,-0.013867237911389236
2026,A,1.25,9,-1.9649839412915948,-10.737277026868927,9,-0.014014975972444917
