fold,μ_log_rv,μ_ac1,σ_log_rv,σ_ac1
2025,-8.398740006768735,-0.051173144614558144,0.667995866119039,0.1891968568524284
2026,-8.476464024761855,-0.04632793177148651,0.6745756372287519,0.1885614843827051
