run_id,BIC,centre_0_log_rv,centre_0_ac1_5m,centre_1_log_rv,centre_1_ac1_5m,centre_2_log_rv,centre_2_ac1_5m
rand7,36697.06669476818,-8.71172964694657,0.1359296287096157,-8.70230330472072,-0.07314968799727306,-8.71710557114873,-0.25901105895077947
rand13,36697.060813499826,-8.711724296564507,0.13594640028681407,-8.717130400388768,-0.2589779307193627,-8.702289140256262,-0.07311718498234196
rand29,36697.0560154601,-8.711719480327764,0.13596112306796748,-8.702277244730581,-0.07308921281804953,-8.717151715982533,-0.2589497519691268
rand47,36697.06413162093,-8.711727347335506,0.13593683125771341,-8.702297222143724,-0.07313573360212003,-8.717116240220765,-0.25899683944771557
rand101,46892.568232973514,-8.700711656868034,-0.04411031796686647,-8.690153036323167,-0.04310838281564052,-8.730994901118613,-0.0439278537381675
jackknife,35054.56084366912,-8.7139344576415,0.1412767941013143,-8.743452177713868,-0.24209762185909312,-8.698545116770227,-0.059421540153065416
